Video_ID	showup	smile_duration	duration	smile_proportion
2596548	1	270	23160	0.011658031088082901
2596878	0			
260066	1	990	5850	0.16923076923076924
2610178	1	5310	7110	0.7468354430379747
2618758	1	0	6240	0.0
2619306	0			
2621178	0			
2630068	1	210	510	0.4117647058823529
2642650	1	330	1020	0.3235294117647059
2643660	0			
2647562	1	0	3900	0.0
26484	1	87	2146	0.04054054054054054
2652072	1	4740	30930	0.15324927255092144
2652470	1	210	6990	0.030042918454935622
2652724	1	1770	26550	0.06666666666666667
2656336	1	30	38730	0.000774593338497289
2658618	1	9480	25710	0.3687281213535589
2662628	0			
2665920	0			
2667284	0			
2671088	1	2190	8970	0.24414715719063546
2693496	1	1020	41490	0.024584237165582067
2697262	0			
2708538	1	90	4980	0.018072289156626505
2714022	0			
2718426	1	0	1470	0.0
2719668	1	0	22620	0.0
2722342	1	240	240	1.0
2729766	1	360	14970	0.02404809619238477
2732092	1	3720	44790	0.08305425318151373
2734336	0			
2739086	1	60	87330	0.0006870491240123669
2756266	0			
2762	0			
2762030	1	120	810	0.14814814814814814
2763304	1	11460	11460	1.0
2769356	0			
2774884	0			
2781364	0			
2785018	0			
2805839	1	60	16380	0.003663003663003663
2812245	1	0	6510	0.0
2815039	1	0	600	0.0
2839358	0			
2839364	0			
2839366	0			
2839368	0			
2840688	1	0	33960	0.0
2840960	1	390	34500	0.011304347826086957
2841064	1	30	2190	0.0136986301369863
2842926	0			
2851192	1	0	1350	0.0
2862110	1	30	21150	0.0014184397163120568
