Id,Title,Blurb,Category_A,Category_B,Category_C,Language,Length_of_Video,Marked_Price,Rating,Reviews_Num,Selling_Price,Students_Num,Students_of_Tch_1,Name_of_Tch_1,Courses_of_Tch_1,Reviews_of_Tch_1,Rating_of_Tch_1,Url
57415,Interpreting Financial Statements,"Master the Wall Street methods for understanding, analyzing and interpreting company financial statements",Finance & Accounting,Financial Modeling & Analysis,Financial Statement,English,1.5 hours,19.99,4.548233,154,14.99,1968,1968,Austin Higgins,1,154,4.548227,https://www.udemy.com/course/financialstatements/
1471502,Ethereum Trading in 2021 + 99 Robots Every Month,Choose the Top Performers from the 99 EAs/Robots in the Ethereum Trading Course: Cryptocurrency Algorithmic Trading,Finance & Accounting,Cryptocurrency & Blockchain,Ethereum,English,2 hours,84.99,4.427534,153,14.99,1844,46880,Petko Zhivkov Aleksandrov,45,7481,4.552836776,https://www.udemy.com/course/the-ethereum-trading-course-99-algorithmic-trading-robots/
682986,Effective Debt Collection Strategies,Learn skills and strategies to improve customer debt recovery,Finance & Accounting,Accounting & Bookkeeping,Debt Collection,English,1.5 hours,39.99,3.920425,153,39.99,326,352,Zanette Phillips,8,168,4.26855618,https://www.udemy.com/course/effective-debt-collection/
3781118,Quickbooks Online in 90 Mins - For Bookkeeping & Accounting,Filled with Easy Practical Examples | Learn the Basics of Quickbooks Online Bookkeeping & Accounting FAST! | Expert CPA,Finance & Accounting,Accounting & Bookkeeping,QuickBooks Online,English,1.5 hours,84.99,4.6089106,152,14.99,3871,8919,Shweta Nandlal,2,243,4.52690392,https://www.udemy.com/course/quickbooks-online-bookkeeping-accounting/
2265454,Certification in Gann Square Trading (Technical Analysis),Highly Profitable Gann Square Trading Strategy that works on Forex Trading & Stock Trading w/ Extra Focus on Risk Mgmt,Finance & Accounting,Investing & Trading,Technical Analysis,English,1.5 hours,84.99,4.2855787,153,14.99,15535,226121,Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide,51,5078,4.516906383,https://www.udemy.com/course/gann-square/
2405380,How To Start and Earn Income With Import/Export Business,The Real Method to Earn Income from Import / Export Business,Finance & Accounting,Other Finance & Accounting,Trade and Commerce,English,3 hours,84.99,4.200217,152,14.99,12265,16694,Syed Shabbir,3,297,4.101818833,https://www.udemy.com/course/how-to-make-money-with-importexport-practicalreal-method/
233900,Get Started With Penny Stocks -Step by Step Guide July 2021,Learn the top advanced strategies for Penny Stock Trading to safely invest in today's market in 2021. Learn successfully,Finance & Accounting,Investing & Trading,Penny Stocks,English,3 hours,84.99,4.3770757,151,14.99,11040,47079,"Mubarak Shah, CPA",2,271,4.56698515,https://www.udemy.com/course/trading-penny-stocks-advanced-strategies/
45139,"Get to know the VIX Index (aka ""The Fear Index"")","The VIX Index is one of the most watched indexes in the markets. Learn how VIX measures ""Fear"" and its impact on Options",Finance & Accounting,Investing & Trading,Stock Trading,English,1.5 hours,39.99,4.715254,151,14.99,1234,94833,Hari Swaminathan,31,14573,4.420163269,https://www.udemy.com/course/vix-index/
3451188,Learn & Make Money in Stock Market : Investing & Day Trade,Beginners Guide for Day Trading & Long Term Investment in Stock Market : Indian & Foreign : Shares & Mutual Fund,Finance & Accounting,Investing & Trading,Day Trading,English,4 hours,84.99,4.279334,153,14.99,12647,14820,M L Gupta,2,166,4.2575473,https://www.udemy.com/course/learn-make-money-in-stock-market-investing-day-trade/
2610178,Basics | How to Buy & Sell Cryptocurrency - Binance Exchange,"In this cryptocurrency course you will learn how to buy, sell and trade cryptocurrency from scratch today.",Finance & Accounting,Cryptocurrency & Blockchain,Binance,English,1.5 hours,74.99,3.7284606,151,14.99,12389,22991,"Kundai Dzawo | Trading, Investing & Technical Analysis Coach",1,151,4.208366267,https://www.udemy.com/course/how-to-buy-sell-cryptocurrency-on-the-binance-exchange/
2293141,Advanced Financial Modeling and Valuation,Learn how to build your first financial models in Excel from scratch.,Finance & Accounting,Financial Modeling & Analysis,Financial Modeling,English,6.5 hours,19.99,3.705618,151,14.99,613,1057,Anurag Singal,5,234,3.743335619,https://www.udemy.com/course/financial-modeling-and-valuation/
1265646,Anti-Money Laundering and Combating Terrorism Financing,An Illustrative Approach to AML/CFT Compliance,Finance & Accounting,Compliance,Anti-Money Laundering,English,44 mins,19.99,3.324153,151,14.99,534,2236,g-Log Consult,4,936,4.182071134,https://www.udemy.com/course/anti-money-laundering-and-combating-terrorism-financing/
1057242,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,"Learn How to Start a Hedge Fund Incubator for Stock Trading by Quant Trader, Yale Grad, Worked @ Investment Bank",Finance & Accounting,Investing & Trading,Hedge Fund,English,1.5 hours,199.99,4.11698,149,199.99,1822,3048,Quantitative Investor,2,172,4.0010149,https://www.udemy.com/course/hedge-fund-startup/
930126,QuickBooks For Personal Home Finances,"Manage Your Personal, Non-Business, Home Financial Records And Manage Your Time And Schedule Using QuickBooks",Finance & Accounting,Money Management Tools,QuickBooks,English,5 hours,39.99,4.3995595,149,15.99,2270,33002,Mark Smolen,43,6494,4.468111996,https://www.udemy.com/course/quickbooks-for-personal-home-finance/
317452,Investing 101: How to Start Investing in 4 Simple Steps,"How to beat 90% of ""expert"" investors, save thousands in taxes, build wealth, & retire early (with just 1 hour per year)",Finance & Accounting,Investing & Trading,Investing,English,1.5 hours,84.99,4.567808,149,14.99,1889,1889,Nathan Winklepleck,1,149,4.5677085,https://www.udemy.com/course/investing/
2362220,Relevant Costs - Managerial Accounting Decisions & Scenarios,Common managerial accounting decisions analyzed using relevant cost methods that can apply to all large decisions,Finance & Accounting,Accounting & Bookkeeping,Management Accounting,English,6.5 hours,84.99,4.4172134,149,14.99,41741,482471,Robert (Bob) Steele,116,22393,4.409971837,https://www.udemy.com/course/relevant-costs-managerial-accounting-decisions-scenarios/
