Id	Title	Blurb	Category_A	Category_B	Category_C	Language	Length_of_Video	Marked_Price	Rating	Reviews_Num	Selling_Price	Students_Num	Students_of_Tch_1	Name_of_Tch_1	Courses_of_Tch_1	Reviews_of_Tch_1	Rating_of_Tch_1	Url
3832678	Effective Time Management For Professionals	Time management / Develop the habits of success	Personal Development	Personal Productivity	Time Management	English	31 mins	84.99	4.2706985	118	9.99	11461	19049	Heba Elshamy	6	382	4.347766293650794	https://www.udemy.com/course/time-management-m/
1137678	Autism Step by Step: The ultimate guide for families	Do you want to learn how to help your child? This Course will teach you everything you need to know to do so.	Personal Development	Parenting & Relationships	Autism	English	5 hours	39.99	4.4233828	118	39.99	323	836	Mayte Urena	2	372	4.6195884	https://www.udemy.com/course/autism-step-by-step-the-ultimate-guide-for-families/
2408956	Beginning Playwriting - Write a Play and Get Produced!	Improve dialogue, characterization, conflict, and plot to write your first script and become a successful playwright	Personal Development	Creativity	Playwriting	English	3.5 hours	19.99	4.470758	117	9.99	459	16844	Trace Crawford	7	2605	4.548460996853146	https://www.udemy.com/course/begining-playwriting-write-a-play-and-get-produced/
1396806	Overcoming Shyness and Social Anxiety	Loneliness is epidemic: Learn how to break out of feeling invisible and gain social confidence.	Personal Development	Personal Transformation	Anxiety Management	English	2.5 hours	19.99	4.374537	117	9.99	1204	7537	Randy Hyde PhD	12	778	4.425725092436975	https://www.udemy.com/course/overcoming-shyness-and-social-anxiety/
1021738	Discover Your Life Mission and Purpose	This course is all about helping you find your life's mission and purpose. Bounce out of bed loving your life!	Personal Development	Influence	Life Purpose	English	1.5 hours	94.99	4.4746523	117	10.99	712	35837	Cha~zay Sandhriel Ph.D.	21	4214	4.599450465439094	https://www.udemy.com/course/life-purpose/
808664	7 Body Language Secrets to Communicate Effectively at Work	Learn the secrets of how successful people communicate in any situation	Personal Development	Personal Brand Building	Body Language	English	5 hours	84.99	4.3711867	117	9.99	616	616	Imageworks Pte Ltd	1	117	4.37167	https://www.udemy.com/course/7-body-language-secrets-to-communicate-effectively/
2993806	Depression, Anxiety, Stress, Meditation & Exercises Sampler	Mindfulness Meditation And Other Practices For Relief Of Depression, Anxiety, Stress Lite Course	Personal Development	Other Personal Development	PTSD	English	1 hour	19.99	4.296796	117	9.99	16470	77577	Crystal Hutchinson Tummala, J.D.	57	1973	4.087890187453874	https://www.udemy.com/course/mindfulness-for-depression-anxiety-ptsd-stress-sampler/
630582	Performance Under Pressure - The Right Attitude	Understand Pressure, Your Reactions to Pressure and Develop the Winning Attitude for Performing under Pressure	Personal Development	Stress Management	Stress Management	English	1.5 hours	84.99	4.3660207	117	9.99	9269	275312	Sorin Dumitrascu	145	27169	4.114189867187498	https://www.udemy.com/course/performance-under-pressure-the-right-attitude/
922280	Structured Note Taking Vol 1: Create an Ideas Bank	Create an ideas bank to store all your random ideas and build a system that will allow you to save all your ideas.	Personal Development	Personal Productivity	Note-taking	English	2.5 hours	99.99	4.4477286	116	11.99	18710	131034	Timothy Kenny	77	5487	4.18426136875784	https://www.udemy.com/course/ideas-bank/
1437348	A Course in Miracles, Intensive  (+ Teacher Cert Intro)	A Year-Long INTENSIVE Training the Mind to Work in Your Favor - Ascension this Time! | PART ONE (1) - Lessons 1-30	Personal Development	Religion & Spirituality	Meditation	English	45.5 hours	84.99	4.489876	116	9.99	689	7785	Rev. Devan Jesse Byrne	18	284	4.41229418446602	https://www.udemy.com/course/a-course-in-miracles/
